family,target_coverage,formal_observed_block_equivalents_per_decode_token,quality_delta_vs_full_rsm_pp,speedup_vs_base,speedup_vs_base_95ci,speedup_vs_full_rsm,speedup_vs_full_rsm_95ci,sample_count,fixed64_block_equivalents_per_decode_token,provenance,runtime_json
2B,0.1,0.6882530572999609,-0.030838689632858518,1.0259082813692302,"[1.0047096298220024, 1.0505331716155122]",1.186547825703687,"[1.160127735068719, 1.2170170118914012]",72,0.6214726631393298,Amendment 015 quiescent rerun; original concurrent-run estimate preserved in audit,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/runtime_validation/qwen3vl_2b_cov_010_quiescent_rerun/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
2B,0.45,0.9585250931404777,-0.25711594498443446,1.0437624550451998,"[1.0357198635751996, 1.0532293683025191]",1.1751607727770519,"[1.1627754597509115, 1.189677905294615]",72,0.9439484126984126,harmonized six-task accepted-anchor benchmark,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/runtime/qwen3vl_2b_cov_045/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
2B,0.65,1.0189610629267392,-0.30934936445041217,1.0551396843376575,"[1.046248285502744, 1.06590483001224]",1.2007989382850603,"[1.1878493925835967, 1.2161532948031963]",72,1.0135030864197532,new pre-registered fixed-64 benchmark,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/runtime/qwen3vl_2b_cov_065/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
4B,0.1,0.488289294734797,-0.17357458165503203,0.9899984248617777,"[0.9840711887725871, 0.9972941727118878]",1.050283270268925,"[1.0369288858044152, 1.0666770382658424]",72,0.4219576719576719,new pre-registered fixed-64 benchmark,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/runtime/qwen3vl_4b_cov_010/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
4B,0.25,0.7670390099651624,-0.2506666164339606,1.0286484564191516,"[1.022657906675561, 1.036310569228809]",1.0715261849870545,"[1.0670166524545646, 1.0761608528985376]",72,0.6674933862433863,reused accepted fixed-64 benchmark,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/runtime/qwen3vl_4b_seed2_capped/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
4B,0.65,1.2975650733009596,-0.611746017770443,1.06565846756836,"[1.0617398334968282, 1.0694312118350295]",1.1176778469421897,"[1.1103187173770588, 1.1273249523829396]",72,1.28505291005291,new pre-registered fixed-64 benchmark,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/runtime/qwen3vl_4b_cov_065/fixed64_12_per_task_r3/BENCHMARK_NATURAL_RUNTIME.json
