family,target_coverage,observed_block_equivalents_per_decode_token,quality_macro,quality_delta_vs_full_rsm_pp,worst_task_delta_pp,best_task_delta_pp,passes_registered_macro_band,provenance,result_json,skip_stats_json
2B,0.1,0.6882530572999609,67.93938287646272,-0.030838689632858518,-0.7000000000000028,0.6872852233676952,True,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_010/models__Qwen3-VL-2B-Instruct/20260901_150008_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_010/skip_stats.json
2B,0.25,0.8086558136735676,67.82256534078611,-0.14765622530946132,-1.5999999999999943,0.6872852233676952,True,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_025/models__Qwen3-VL-2B-Instruct/20260901_150008_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_025/skip_stats.json
2B,0.45,0.9585250931404777,67.71310562111114,-0.25711594498443446,-1.4000000000000057,0.6872852233676952,True,reused accepted formal operating point,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/full6/reskip_conservative/models__Qwen3-VL-2B-Instruct/20260831_184523_results.json,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/full6/reskip_conservative/skip_stats.json
2B,0.65,1.0189610629267392,67.66087220164516,-0.30934936445041217,-2.0,0.6872852233676952,False,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_065/models__Qwen3-VL-2B-Instruct/20260901_155641_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_2b_cov_065/skip_stats.json
4B,0.1,0.488289294734797,73.08172536022725,-0.17357458165503203,-0.8304474899302363,0.0,True,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_010/models__Qwen3-VL-4B-Instruct/20260901_145621_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_010/skip_stats.json
4B,0.25,0.7670390099651624,73.00463332544832,-0.2506666164339606,-0.7999999999999972,0.08591065292097255,True,reused accepted formal operating point,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/reskip/qwen3vl_4b_seed2_capped/models__Qwen3-VL-4B-Instruct/20260901_010801_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/eval/reskip/qwen3vl_4b_seed2_capped/skip_stats.json
4B,0.45,1.0893464438858496,72.74323403327851,-0.5120659086037733,-2.5,0.08591065292097255,False,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_045/models__Qwen3-VL-4B-Instruct/20260901_145549_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_045/skip_stats.json
4B,0.65,1.2975650733009596,72.64355392411184,-0.611746017770443,-3.0999999999999943,0.08591065292097255,False,new pre-registered sensitivity cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_065/models__Qwen3-VL-4B-Instruct/20260901_145527_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/pareto/qwen3vl_4b_cov_065/skip_stats.json
