gate_scale,macro_average,factor_mean,factor_min,factor_max,mean_block_factor_std,route_entropy_ema,role_js_ema,pairwise_js_ema,effective_rank_ema,skip_training_forwards,provenance,result_json,train_summary
0.0,67.35749433535436,1.0,1.0,1.0,0.0,,,,,0,reused matched Full AttnRes seed 0,/data/Minko/experiments/reskip_paper_vlm_completion_20260824/full6/fullar/models__Qwen3-VL-2B-Instruct/20260824_160303_results.json,
0.25,67.61508423361111,0.846116711695989,0.75,1.25,0.11463652551174164,1.0051126292150667,0.15220464640971804,0.09880077705390297,1.5504789656529494,0,new pre-registered cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/gate_scale/gate_scale_0p25_seed0/models__Qwen3-VL-2B-Instruct/20260901_150857_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/train/gate_scale_0p25_seed0/train_summary.json
0.5,67.97022156609557,0.5866589943567911,0.5,1.5,0.1594406229754289,1.0254305035202576,0.14225940862978143,0.09283631945121221,1.5774054760095773,0,reused accepted RSM seed 0,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/full6/candidate/models__Qwen3-VL-2B-Instruct/20260831_171603_results.json,/data/Minko/experiments/attnres_residual_strength_gate_2b_20260831/S1_rsg_h1/train_summary.json
0.75,67.89235021073353,0.2961962620417277,0.25,1.6875,0.10515996068716049,1.101563238206359,0.11960909848184519,0.0801588072008044,1.657344408203702,0,new pre-registered cell,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/eval/gate_scale/gate_scale_0p75_seed0/models__Qwen3-VL-2B-Instruct/20260901_150827_results.json,/data/Minko/experiments/attnres_rsm_vlm_scale_generalization_20260831/sensitivity/train/gate_scale_0p75_seed0/train_summary.json
